,percent_broken,percent_fail_runs,rul_score,mse
cmapss_four2three_jan,0.0,1.0,55.73532006048387,39.00088882446289
cmapss_four2three_jan,0.0,1.0,55.84272618447581,39.124202728271484
cmapss_four2three_jan,0.0,1.0,55.70317225302419,39.093116760253906
cmapss_four2three_jan,0.0,0.8,55.73322911416331,39.00114822387695
cmapss_four2three_jan,0.0,0.8,55.84282462827621,39.124237060546875
cmapss_four2three_jan,0.0,0.8,55.705050560735884,39.093666076660156
cmapss_four2three_jan,0.0,0.6,55.73828125,39.00035095214844
cmapss_four2three_jan,0.0,0.6,55.84292700982863,39.124263763427734
cmapss_four2three_jan,0.0,0.6,55.706275201612904,39.094085693359375
cmapss_four2three_jan,0.0,0.4,55.737887474798384,39.00050735473633
cmapss_four2three_jan,0.0,0.4,55.84135190902218,39.123619079589844
cmapss_four2three_jan,0.0,0.4,55.706153131300404,39.09402847290039
cmapss_four2three_jan,0.0,0.2,55.73380796370968,39.00115203857422
cmapss_four2three_jan,0.0,0.2,55.841824439264116,39.12400436401367
cmapss_four2three_jan,0.0,0.2,55.708889868951616,39.09487533569336
cmapss_four2three_jan,0.2,1.0,46.008001512096776,37.37623977661133
cmapss_four2three_jan,0.2,1.0,50.993144373739916,37.906394958496094
cmapss_four2three_jan,0.2,1.0,52.700384324596776,39.14912033081055
cmapss_four2three_jan,0.2,0.8,45.06761907762097,37.56800079345703
cmapss_four2three_jan,0.2,0.8,50.145602318548384,37.23140335083008
cmapss_four2three_jan,0.2,0.8,52.52693422379032,39.9261589050293
cmapss_four2three_jan,0.2,0.6,47.54759560861895,39.47880935668945
cmapss_four2three_jan,0.2,0.6,48.481059412802416,38.922306060791016
cmapss_four2three_jan,0.2,0.6,53.02867864793347,39.83774185180664
cmapss_four2three_jan,0.2,0.4,50.69083527595766,39.666255950927734
cmapss_four2three_jan,0.2,0.4,52.69149681829637,38.21222686767578
cmapss_four2three_jan,0.2,0.4,52.40849845640121,39.70598602294922
cmapss_four2three_jan,0.2,0.2,54.05447486139113,38.71382141113281
cmapss_four2three_jan,0.2,0.2,46.81954857610887,37.99455642700195
cmapss_four2three_jan,0.2,0.2,50.864478326612904,39.02522277832031
cmapss_four2three_jan,0.4,1.0,45.42943942162298,37.62194061279297
cmapss_four2three_jan,0.4,1.0,75.23447738155242,41.96408462524414
cmapss_four2three_jan,0.4,1.0,79.03770791330645,42.660888671875
cmapss_four2three_jan,0.4,0.8,50.36405698714718,39.85657501220703
cmapss_four2three_jan,0.4,0.8,76.36170614919355,43.059818267822266
cmapss_four2three_jan,0.4,0.8,76.64330267137096,43.20408630371094
cmapss_four2three_jan,0.4,0.6,45.37299962197581,36.86526870727539
cmapss_four2three_jan,0.4,0.6,74.03125,42.229583740234375
cmapss_four2three_jan,0.4,0.6,80.1225822202621,43.261566162109375
cmapss_four2three_jan,0.4,0.4,44.717222152217744,37.67753219604492
cmapss_four2three_jan,0.4,0.4,62.723782447076616,38.41501998901367
cmapss_four2three_jan,0.4,0.4,66.7153084047379,43.11153793334961
cmapss_four2three_jan,0.4,0.2,55.707003685735884,38.979576110839844
cmapss_four2three_jan,0.4,0.2,81.16841765372983,39.12181091308594
cmapss_four2three_jan,0.4,0.2,61.165669102822584,40.649776458740234
cmapss_four2three_jan,0.6,1.0,60.14513766381048,41.56830978393555
cmapss_four2three_jan,0.6,1.0,102.89663400957662,42.581573486328125
cmapss_four2three_jan,0.6,1.0,99.48075226814517,44.053741455078125
cmapss_four2three_jan,0.6,0.8,45.64298765120968,38.48664093017578
cmapss_four2three_jan,0.6,0.8,80.8405525453629,42.61712646484375
cmapss_four2three_jan,0.6,0.8,95.84908171622983,44.393672943115234
cmapss_four2three_jan,0.6,0.6,53.831436649445564,38.02504348754883
cmapss_four2three_jan,0.6,0.6,369.588142641129,42.33513641357422
cmapss_four2three_jan,0.6,0.6,83.67615927419355,43.76777267456055
cmapss_four2three_jan,0.6,0.4,49.49169528099798,39.86688995361328
cmapss_four2three_jan,0.6,0.4,99.9485099546371,46.64691925048828
cmapss_four2three_jan,0.6,0.4,80.56765845514113,43.70451354980469
cmapss_four2three_jan,0.6,0.2,50.32300986013105,37.92195129394531
cmapss_four2three_jan,0.6,0.2,128.95815744707662,43.60382843017578
cmapss_four2three_jan,0.6,0.2,79.75081905241936,43.293251037597656
cmapss_four2three_jan,0.8,1.0,90.04752079133064,42.837223052978516
cmapss_four2three_jan,0.8,1.0,101.23705267137096,42.67013931274414
cmapss_four2three_jan,0.8,1.0,82.83621314264113,43.74433135986328
cmapss_four2three_jan,0.8,0.8,440.9926285282258,42.5415153503418
cmapss_four2three_jan,0.8,0.8,380.0481350806452,43.35578536987305
cmapss_four2three_jan,0.8,0.8,86.41830739667338,44.152198791503906
cmapss_four2three_jan,0.8,0.6,259.9436743951613,40.45427703857422
cmapss_four2three_jan,0.8,0.6,447.4281439012097,42.81681823730469
cmapss_four2three_jan,0.8,0.6,85.74516444052419,43.80020523071289
cmapss_four2three_jan,0.8,0.4,159.11139112903226,44.816307067871094
cmapss_four2three_jan,0.8,0.4,618.2629788306451,47.607826232910156
cmapss_four2three_jan,0.8,0.4,105.45179403981855,46.201904296875
cmapss_four2three_jan,0.8,0.2,76.71545803931451,41.15032958984375
cmapss_four2three_jan,0.8,0.2,414.93655493951616,43.28934097290039
cmapss_four2three_jan,0.8,0.2,80.5038826234879,43.22690963745117
cmapss_four2two_dan,0.0,1.0,75.25966005067568,42.94562911987305
cmapss_four2two_dan,0.0,1.0,72.83381847249035,43.002342224121094
cmapss_four2two_dan,0.0,1.0,73.12650820463321,42.98807907104492
cmapss_four2two_dan,0.0,0.8,75.26372466216216,42.94560241699219
cmapss_four2two_dan,0.0,0.8,72.83390142374517,43.00234603881836
cmapss_four2two_dan,0.0,0.8,73.07795155646718,42.9902229309082
cmapss_four2two_dan,0.0,0.6,75.24734555984556,42.94572448730469
cmapss_four2two_dan,0.0,0.6,72.82053118967181,43.00318145751953
cmapss_four2two_dan,0.0,0.6,73.1149478161197,42.988582611083984
cmapss_four2two_dan,0.0,0.4,75.23883928571429,42.9457893371582
cmapss_four2two_dan,0.0,0.4,72.83888604005791,43.00211715698242
cmapss_four2two_dan,0.0,0.4,73.0493635376448,42.991546630859375
cmapss_four2two_dan,0.0,0.2,75.24619178330116,42.945743560791016
cmapss_four2two_dan,0.0,0.2,72.82904500482626,32.61625289916992
cmapss_four2two_dan,0.0,0.2,73.06093146718146,42.990970611572266
cmapss_four2two_dan,0.2,1.0,75.25599511341699,42.945674896240234
